#,word,class,english,file name,eka done,dva done,bahu done,notes,ask for (eka),ask for (dva),ask for (bahu)
1,बालक,अकारान्त पुं,boy / boys,baalaka,,,,,Draw: one boy.,"Draw: exactly two boys, side by side.",Draw: a group of three to five boys.
2,छात्र,अकारान्त पुं,student / students,chaatra,,,,,Draw: one student.,"Draw: exactly two students, side by side.",Draw: a group of three to five students.
3,शिष्य,अकारान्त पुं,disciple / disciples,shishya,,,,,Draw: one disciple.,"Draw: exactly two disciples, side by side.",Draw: a group of three to five disciples.
4,शिक्षक,अकारान्त पुं,teacher / teachers,shikshaka,,,,,Draw: one teacher.,"Draw: exactly two teachers, side by side.",Draw: a group of three to five teachers.
5,अध्यापक,अकारान्त पुं,teacher / teachers,adhyaapaka,,,,,Draw: one teacher.,"Draw: exactly two teachers, side by side.",Draw: a group of three to five teachers.
6,आचार्य,अकारान्त पुं,master / masters,aacaarya,,,,,Draw: one master.,"Draw: exactly two masters, side by side.",Draw: a group of three to five masters.
7,वैद्य,अकारान्त पुं,doctor / doctors,vaidya,,,,,Draw: one doctor.,"Draw: exactly two doctors, side by side.",Draw: a group of three to five doctors.
8,कृषक,अकारान्त पुं,farmer / farmers,krishaka,,,,,Draw: one farmer.,"Draw: exactly two farmers, side by side.",Draw: a group of three to five farmers.
9,सैनिक,अकारान्त पुं,soldier / soldiers,sainika,,,,,Draw: one soldier.,"Draw: exactly two soldiers, side by side.",Draw: a group of three to five soldiers.
10,नृप,अकारान्त पुं,king / kings,nripa,,,,,Draw: one king.,"Draw: exactly two kings, side by side.",Draw: a group of three to five kings.
11,जनक,अकारान्त पुं,father / fathers,janaka,,,,,Draw: one father.,"Draw: exactly two fathers, side by side.",Draw: a group of three to five fathers.
12,पितामह,अकारान्त पुं,grandfather / grandfathers,pitaamaha,,,,,Draw: one grandfather.,"Draw: exactly two grandfathers, side by side.",Draw: a group of three to five grandfathers.
13,पुत्र,अकारान्त पुं,son / sons,putra,,,,,Draw: one son.,"Draw: exactly two sons, side by side.",Draw: a group of three to five sons.
