id,or name it,part,group,word,meaning,how many,read these in order,notes,status
A01,letters-vowels,A letters,स्वराः,,,11,अ   आ   इ   ई   उ   ऊ   ऋ   ए   ऐ   ओ   औ,vowels alone,
A02,letters-ka-varga,A letters,कवर्गः,,,5,क   ख   ग   घ   ङ,"each consonant with its a: ka, kha, ga ...",
A03,letters-ca-varga,A letters,चवर्गः,,,5,च   छ   ज   झ   ञ,"each consonant with its a: ka, kha, ga ...",
A04,letters-tta-varga,A letters,टवर्गः,,,5,ट   ठ   ड   ढ   ण,"each consonant with its a: ka, kha, ga ...",
A05,letters-ta-varga,A letters,तवर्गः,,,5,त   थ   द   ध   न,"each consonant with its a: ka, kha, ga ...",
A06,letters-pa-varga,A letters,पवर्गः,,,5,प   फ   ब   भ   म,"each consonant with its a: ka, kha, ga ...",
A07,letters-antastha,A letters,अन्तस्थाः,,,4,य   र   ल   व,"each consonant with its a: ka, kha, ga ...",
A08,letters-ushma,A letters,ऊष्माणः,,,4,श   ष   स   ह,"each consonant with its a: ka, kha, ga ...",
B001,jana-eka,B tables,"एकवचनम्, पुंलिङ्गम्",जन,person,8,जनः   जनम्   जनेन   जनाय   जनात्   जनस्य   जने   जन,,
B002,simha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",सिंह,lion,8,सिंहः   सिंहम्   सिंहेन   सिंहाय   सिंहात्   सिंहस्य   सिंहे   सिंह,,
B003,raama-eka,B tables,"एकवचनम्, पुंलिङ्गम्",राम,Rama,8,रामः   रामम्   रामेण   रामाय   रामात्   रामस्य   रामे   राम,,
B004,vriksha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",वृक्ष,tree,8,वृक्षः   वृक्षम्   वृक्षेण   वृक्षाय   वृक्षात्   वृक्षस्य   वृक्षे   वृक्ष,,
B005,baka-eka,B tables,"एकवचनम्, पुंलिङ्गम्",बक,crane,8,बकः   बकम्   बकेन   बकाय   बकात्   बकस्य   बके   बक,,
B006,cora-eka,B tables,"एकवचनम्, पुंलिङ्गम्",चोर,thief,8,चोरः   चोरम्   चोरेण   चोराय   चोरात्   चोरस्य   चोरे   चोर,,
B007,megha-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मेघ,cloud,8,मेघः   मेघम्   मेघेन   मेघाय   मेघात्   मेघस्य   मेघे   मेघ,,
B008,ghata-eka,B tables,"एकवचनम्, पुंलिङ्गम्",घट,pot,8,घटः   घटम्   घटेन   घटाय   घटात्   घटस्य   घटे   घट,,
B009,tadaaga-eka,B tables,"एकवचनम्, पुंलिङ्गम्",तडाग,pond,8,तडागः   तडागम्   तडागेन   तडागाय   तडागात्   तडागस्य   तडागे   तडाग,,
B010,matsya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",मत्स्य,fish,8,मत्स्यः   मत्स्यम्   मत्स्येन   मत्स्याय   मत्स्यात्   मत्स्यस्य   मत्स्ये   मत्स्य,,
B011,aacaarya-eka,B tables,"एकवचनम्, पुंलिङ्गम्",आचार्य,master,8,आचार्यः   आचार्यम्   आचार्येण   आचार्याय   आचार्यात्   आचार्यस्य   आचार्ये   आचार्य,,
